,Time,BCHUSDT,FILUSDT
0,2023-06-04 11:00:00,116.8,4.875
1,2023-06-04 11:01:00,116.8,4.874
2,2023-06-04 11:02:00,116.7,4.875
3,2023-06-04 11:03:00,116.7,4.875
4,2023-06-04 11:04:00,116.7,4.875
5,2023-06-04 11:05:00,116.6,4.875
6,2023-06-04 11:06:00,116.5,4.873
7,2023-06-04 11:07:00,116.5,4.87
8,2023-06-04 11:08:00,116.5,4.874
9,2023-06-04 11:09:00,116.5,4.872
10,2023-06-04 11:10:00,116.5,4.872
11,2023-06-04 11:11:00,116.5,4.872
12,2023-06-04 11:12:00,116.5,4.871
13,2023-06-04 11:13:00,116.5,4.867
14,2023-06-04 11:14:00,116.5,4.866
15,2023-06-04 11:15:00,116.5,4.869
16,2023-06-04 11:16:00,116.5,4.871
17,2023-06-04 11:17:00,116.6,4.872
18,2023-06-04 11:18:00,116.5,4.87
19,2023-06-04 11:19:00,116.6,4.872
20,2023-06-04 11:20:00,116.6,4.871
21,2023-06-04 11:21:00,116.5,4.871
22,2023-06-04 11:22:00,116.5,4.87
23,2023-06-04 11:23:00,116.5,4.871
24,2023-06-04 11:24:00,116.6,4.871
25,2023-06-04 11:25:00,116.7,4.868
26,2023-06-04 11:26:00,116.7,4.867
27,2023-06-04 11:27:00,116.6,4.865
28,2023-06-04 11:28:00,116.6,4.865
29,2023-06-04 11:29:00,116.6,4.862
30,2023-06-04 11:30:00,116.7,4.862
31,2023-06-04 11:31:00,116.7,4.863
32,2023-06-04 11:32:00,116.7,4.864
33,2023-06-04 11:33:00,116.7,4.865
34,2023-06-04 11:34:00,116.7,4.865
35,2023-06-04 11:35:00,116.7,4.864
36,2023-06-04 11:36:00,116.7,4.864
37,2023-06-04 11:37:00,116.6,4.862
38,2023-06-04 11:38:00,116.6,4.861
39,2023-06-04 11:39:00,116.6,4.864
40,2023-06-04 11:40:00,116.5,4.863
41,2023-06-04 11:41:00,116.5,4.862
42,2023-06-04 11:42:00,116.5,4.863
43,2023-06-04 11:43:00,116.5,4.863
44,2023-06-04 11:44:00,116.6,4.863
45,2023-06-04 11:45:00,116.6,4.863
46,2023-06-04 11:46:00,116.6,4.865
47,2023-06-04 11:47:00,116.5,4.861
48,2023-06-04 11:48:00,116.5,4.862
49,2023-06-04 11:49:00,116.5,4.861
50,2023-06-04 11:50:00,116.5,4.861
51,2023-06-04 11:51:00,116.4,4.862
52,2023-06-04 11:52:00,116.5,4.863
53,2023-06-04 11:53:00,116.5,4.863
54,2023-06-04 11:54:00,116.4,4.864
55,2023-06-04 11:55:00,116.5,4.865
56,2023-06-04 11:56:00,116.4,4.867
57,2023-06-04 11:57:00,116.5,4.866
58,2023-06-04 11:58:00,116.4,4.865
59,2023-06-04 11:59:00,116.4,4.865
60,2023-06-04 12:00:00,116.4,4.863
61,2023-06-04 12:01:00,116.5,4.863
62,2023-06-04 12:02:00,116.4,4.863
63,2023-06-04 12:03:00,116.5,4.862
64,2023-06-04 12:04:00,116.5,4.863
65,2023-06-04 12:05:00,116.5,4.861
66,2023-06-04 12:06:00,116.5,4.861
67,2023-06-04 12:07:00,116.5,4.862
68,2023-06-04 12:08:00,116.5,4.859
69,2023-06-04 12:09:00,116.4,4.857
70,2023-06-04 12:10:00,116.4,4.855
71,2023-06-04 12:11:00,116.4,4.854
72,2023-06-04 12:12:00,116.4,4.854
73,2023-06-04 12:13:00,116.4,4.857
74,2023-06-04 12:14:00,116.4,4.856
75,2023-06-04 12:15:00,116.4,4.859
76,2023-06-04 12:16:00,116.4,4.858
77,2023-06-04 12:17:00,116.4,4.858
78,2023-06-04 12:18:00,116.4,4.854
79,2023-06-04 12:19:00,116.4,4.854
80,2023-06-04 12:20:00,116.4,4.85
81,2023-06-04 12:21:00,116.4,4.852
82,2023-06-04 12:22:00,116.4,4.852
83,2023-06-04 12:23:00,116.5,4.854
84,2023-06-04 12:24:00,116.4,4.854
85,2023-06-04 12:25:00,116.4,4.853
86,2023-06-04 12:26:00,116.4,4.854
87,2023-06-04 12:27:00,116.4,4.852
88,2023-06-04 12:28:00,116.4,4.851
89,2023-06-04 12:29:00,116.4,4.847
90,2023-06-04 12:30:00,116.4,4.849
91,2023-06-04 12:31:00,116.4,4.849
92,2023-06-04 12:32:00,116.4,4.85
93,2023-06-04 12:33:00,116.4,4.85
94,2023-06-04 12:34:00,116.4,4.845
95,2023-06-04 12:35:00,116.4,4.846
96,2023-06-04 12:36:00,116.5,4.846
97,2023-06-04 12:37:00,116.4,4.846
98,2023-06-04 12:38:00,116.5,4.846
99,2023-06-04 12:39:00,116.4,4.843
100,2023-06-04 12:40:00,116.4,4.84
101,2023-06-04 12:41:00,116.4,4.844
102,2023-06-04 12:42:00,116.4,4.843
103,2023-06-04 12:43:00,116.4,4.844
104,2023-06-04 12:44:00,116.4,4.843
105,2023-06-04 12:45:00,116.3,4.842
106,2023-06-04 12:46:00,116.4,4.845
107,2023-06-04 12:47:00,116.3,4.847
108,2023-06-04 12:48:00,116.3,4.849
109,2023-06-04 12:49:00,116.3,4.853
110,2023-06-04 12:50:00,116.3,4.855
111,2023-06-04 12:51:00,116.3,4.847
112,2023-06-04 12:52:00,116.3,4.848
113,2023-06-04 12:53:00,116.4,4.85
114,2023-06-04 12:54:00,116.4,4.852
115,2023-06-04 12:55:00,116.3,4.852
116,2023-06-04 12:56:00,116.3,4.852
117,2023-06-04 12:57:00,116.3,4.853
118,2023-06-04 12:58:00,116.3,4.849
119,2023-06-04 12:59:00,116.3,4.849
120,2023-06-04 13:00:00,116.4,4.849
121,2023-06-04 13:01:00,116.3,4.85
122,2023-06-04 13:02:00,116.3,4.854
123,2023-06-04 13:03:00,116.4,4.855
124,2023-06-04 13:04:00,116.3,4.855
125,2023-06-04 13:05:00,116.3,4.855
126,2023-06-04 13:06:00,116.3,4.857
127,2023-06-04 13:07:00,116.3,4.853
128,2023-06-04 13:08:00,116.3,4.857
129,2023-06-04 13:09:00,116.3,4.857
130,2023-06-04 13:10:00,116.3,4.859
131,2023-06-04 13:11:00,116.4,4.859
132,2023-06-04 13:12:00,116.4,4.857
133,2023-06-04 13:13:00,116.3,4.857
134,2023-06-04 13:14:00,116.3,4.857
135,2023-06-04 13:15:00,116.4,4.855
136,2023-06-04 13:16:00,116.3,4.855
137,2023-06-04 13:17:00,116.4,4.855
138,2023-06-04 13:18:00,116.3,4.855
139,2023-06-04 13:19:00,116.3,4.852
140,2023-06-04 13:20:00,116.3,4.852
141,2023-06-04 13:21:00,116.3,4.853
142,2023-06-04 13:22:00,116.3,4.855
143,2023-06-04 13:23:00,116.3,4.855
144,2023-06-04 13:24:00,116.3,4.852
145,2023-06-04 13:25:00,116.3,4.852
146,2023-06-04 13:26:00,116.4,4.851
147,2023-06-04 13:27:00,116.4,4.848
148,2023-06-04 13:28:00,116.3,4.837
149,2023-06-04 13:29:00,116.4,4.834
150,2023-06-04 13:30:00,116.3,4.84
151,2023-06-04 13:31:00,116.3,4.836
152,2023-06-04 13:32:00,116.3,4.839
153,2023-06-04 13:33:00,116.4,4.84
154,2023-06-04 13:34:00,116.4,4.844
155,2023-06-04 13:35:00,116.4,4.843
156,2023-06-04 13:36:00,116.5,4.843
157,2023-06-04 13:37:00,116.5,4.844
158,2023-06-04 13:38:00,116.5,4.84
159,2023-06-04 13:39:00,116.4,4.838
160,2023-06-04 13:40:00,116.4,4.838
161,2023-06-04 13:41:00,116.4,4.836
162,2023-06-04 13:42:00,116.3,4.836
163,2023-06-04 13:43:00,116.4,4.838
164,2023-06-04 13:44:00,116.4,4.837
165,2023-06-04 13:45:00,116.4,4.838
166,2023-06-04 13:46:00,116.5,4.838
167,2023-06-04 13:47:00,116.5,4.838
168,2023-06-04 13:48:00,116.4,4.84
169,2023-06-04 13:49:00,116.4,4.838
170,2023-06-04 13:50:00,116.3,4.839
171,2023-06-04 13:51:00,116.4,4.84
172,2023-06-04 13:52:00,116.3,4.839
