,Time,BTCUSDT,BUSDUSDT
0,2023-06-04 10:34:00,27204.72,0.9999
1,2023-06-04 10:35:00,27209.38,0.9999
2,2023-06-04 10:36:00,27212.22,0.9999
3,2023-06-04 10:37:00,27219.99,0.9999
4,2023-06-04 10:38:00,27219.99,0.9999
5,2023-06-04 10:39:00,27235.32,0.9999
6,2023-06-04 10:40:00,27236.93,0.9998
7,2023-06-04 10:41:00,27242.26,0.9998
8,2023-06-04 10:42:00,27227.22,0.9999
9,2023-06-04 10:43:00,27218.55,0.9998
10,2023-06-04 10:44:00,27222.31,0.9999
11,2023-06-04 10:45:00,27226.47,0.9998
12,2023-06-04 10:46:00,27229.79,0.9999
13,2023-06-04 10:47:00,27230.66,0.9999
14,2023-06-04 10:48:00,27230.64,0.9998
15,2023-06-04 10:49:00,27229.07,0.9999
16,2023-06-04 10:50:00,27227.52,0.9999
17,2023-06-04 10:51:00,27228.51,0.9998
18,2023-06-04 10:52:00,27226.3,0.9998
19,2023-06-04 10:53:00,27219.13,0.9999
20,2023-06-04 10:54:00,27210.49,0.9999
21,2023-06-04 10:55:00,27209.48,0.9998
22,2023-06-04 10:56:00,27211.61,0.9998
23,2023-06-04 10:57:00,27211.61,0.9998
24,2023-06-04 10:58:00,27211.99,0.9999
25,2023-06-04 10:59:00,27215.89,0.9999
26,2023-06-04 11:00:00,27221.02,0.9998
27,2023-06-04 11:01:00,27221.02,0.9998
28,2023-06-04 11:02:00,27221.01,0.9999
29,2023-06-04 11:03:00,27211.84,0.9998
30,2023-06-04 11:04:00,27209.41,0.9998
31,2023-06-04 11:05:00,27208.42,0.9998
32,2023-06-04 11:06:00,27205.48,0.9999
33,2023-06-04 11:07:00,27205.49,0.9998
34,2023-06-04 11:08:00,27204.46,0.9999
35,2023-06-04 11:09:00,27203.63,0.9998
36,2023-06-04 11:10:00,27203.41,0.9999
37,2023-06-04 11:11:00,27203.4,0.9999
38,2023-06-04 11:12:00,27204.2,0.9998
39,2023-06-04 11:13:00,27206.38,0.9998
40,2023-06-04 11:14:00,27206.39,0.9999
41,2023-06-04 11:15:00,27206.39,0.9999
42,2023-06-04 11:16:00,27206.44,0.9999
43,2023-06-04 11:17:00,27207.24,0.9998
44,2023-06-04 11:18:00,27203.37,0.9998
45,2023-06-04 11:19:00,27190.34,0.9998
46,2023-06-04 11:20:00,27194.15,0.9999
47,2023-06-04 11:21:00,27197.71,0.9999
48,2023-06-04 11:22:00,27205.03,0.9999
49,2023-06-04 11:23:00,27205.04,0.9998
50,2023-06-04 11:24:00,27205.2,0.9999
51,2023-06-04 11:25:00,27213.8,0.9998
52,2023-06-04 11:26:00,27215.07,0.9998
53,2023-06-04 11:27:00,27221.38,0.9999
54,2023-06-04 11:28:00,27224.12,0.9999
55,2023-06-04 11:29:00,27224.08,0.9999
56,2023-06-04 11:30:00,27214.18,0.9998
57,2023-06-04 11:31:00,27214.18,0.9999
58,2023-06-04 11:32:00,27211.01,0.9999
59,2023-06-04 11:33:00,27210.69,0.9999
60,2023-06-04 11:34:00,27221.23,0.9999
61,2023-06-04 11:35:00,27222.68,0.9998
62,2023-06-04 11:36:00,27222.01,0.9999
63,2023-06-04 11:37:00,27214.65,0.9999
64,2023-06-04 11:38:00,27214.66,0.9998
65,2023-06-04 11:39:00,27214.65,0.9999
66,2023-06-04 11:40:00,27216.25,0.9999
67,2023-06-04 11:41:00,27214.79,0.9999
68,2023-06-04 11:42:00,27214.62,0.9999
69,2023-06-04 11:43:00,27210.05,0.9999
70,2023-06-04 11:44:00,27208.68,0.9998
71,2023-06-04 11:45:00,27206.5,0.9998
72,2023-06-04 11:46:00,27206.5,0.9998
73,2023-06-04 11:47:00,27212.99,0.9999
74,2023-06-04 11:48:00,27213.92,0.9998
75,2023-06-04 11:49:00,27215.19,0.9998
76,2023-06-04 11:50:00,27215.2,0.9999
77,2023-06-04 11:51:00,27220.41,0.9998
78,2023-06-04 11:52:00,27226.63,0.9998
79,2023-06-04 11:53:00,27226.63,0.9999
80,2023-06-04 11:54:00,27230.17,0.9998
81,2023-06-04 11:55:00,27227.84,0.9999
82,2023-06-04 11:56:00,27222.42,0.9998
83,2023-06-04 11:57:00,27222.0,0.9999
84,2023-06-04 11:58:00,27222.98,0.9999
85,2023-06-04 11:59:00,27221.05,0.9998
86,2023-06-04 12:00:00,27218.25,0.9998
87,2023-06-04 12:01:00,27212.77,0.9998
88,2023-06-04 12:02:00,27211.0,0.9998
89,2023-06-04 12:03:00,27214.21,0.9998
90,2023-06-04 12:04:00,27213.99,0.9999
91,2023-06-04 12:05:00,27215.65,0.9998
92,2023-06-04 12:06:00,27211.43,0.9999
93,2023-06-04 12:07:00,27222.22,0.9998
94,2023-06-04 12:08:00,27218.02,0.9998
95,2023-06-04 12:09:00,27220.66,0.9998
96,2023-06-04 12:10:00,27230.45,0.9999
97,2023-06-04 12:11:00,27231.85,0.9998
98,2023-06-04 12:12:00,27235.66,0.9998
99,2023-06-04 12:13:00,27233.94,0.9999
100,2023-06-04 12:14:00,27230.45,0.9998
101,2023-06-04 12:15:00,27228.41,0.9999
102,2023-06-04 12:16:00,27224.02,0.9998
103,2023-06-04 12:17:00,27219.05,0.9999
104,2023-06-04 12:18:00,27217.78,0.9998
105,2023-06-04 12:19:00,27217.71,0.9999
106,2023-06-04 12:20:00,27220.91,0.9999
107,2023-06-04 12:21:00,27220.92,0.9998
108,2023-06-04 12:22:00,27224.55,0.9998
109,2023-06-04 12:23:00,27227.2,0.9999
110,2023-06-04 12:24:00,27227.2,0.9998
