,Time,BTCUSDT,COMPUSDT
0,2023-06-04 10:37:00,27219.99,35.66
1,2023-06-04 10:38:00,27219.99,35.67
2,2023-06-04 10:39:00,27235.32,35.67
3,2023-06-04 10:40:00,27236.93,35.66
4,2023-06-04 10:41:00,27242.26,35.66
5,2023-06-04 10:42:00,27227.22,35.68
6,2023-06-04 10:43:00,27218.55,35.67
7,2023-06-04 10:44:00,27222.31,35.67
8,2023-06-04 10:45:00,27226.47,35.67
9,2023-06-04 10:46:00,27229.79,35.68
10,2023-06-04 10:47:00,27230.66,35.69
11,2023-06-04 10:48:00,27230.64,35.69
12,2023-06-04 10:49:00,27229.07,35.67
13,2023-06-04 10:50:00,27227.52,35.67
14,2023-06-04 10:51:00,27228.51,35.67
15,2023-06-04 10:52:00,27226.3,35.67
16,2023-06-04 10:53:00,27219.13,35.68
17,2023-06-04 10:54:00,27210.49,35.68
18,2023-06-04 10:55:00,27209.48,35.67
19,2023-06-04 10:56:00,27211.61,35.67
20,2023-06-04 10:57:00,27211.61,35.68
21,2023-06-04 10:58:00,27211.99,35.7
22,2023-06-04 10:59:00,27215.89,35.7
23,2023-06-04 11:00:00,27221.02,35.7
24,2023-06-04 11:01:00,27221.02,35.69
25,2023-06-04 11:02:00,27221.01,35.69
26,2023-06-04 11:03:00,27211.84,35.68
27,2023-06-04 11:04:00,27209.41,35.66
28,2023-06-04 11:05:00,27208.42,35.66
29,2023-06-04 11:06:00,27205.48,35.66
30,2023-06-04 11:07:00,27205.49,35.66
31,2023-06-04 11:08:00,27204.46,35.66
32,2023-06-04 11:09:00,27203.63,35.66
33,2023-06-04 11:10:00,27203.41,35.64
34,2023-06-04 11:11:00,27203.4,35.64
35,2023-06-04 11:12:00,27204.2,35.64
36,2023-06-04 11:13:00,27206.38,35.65
37,2023-06-04 11:14:00,27206.39,35.66
38,2023-06-04 11:15:00,27206.39,35.66
39,2023-06-04 11:16:00,27206.44,35.66
40,2023-06-04 11:17:00,27207.24,35.66
41,2023-06-04 11:18:00,27203.37,35.65
42,2023-06-04 11:19:00,27190.34,35.65
43,2023-06-04 11:20:00,27194.15,35.65
44,2023-06-04 11:21:00,27197.71,35.64
45,2023-06-04 11:22:00,27205.03,35.64
46,2023-06-04 11:23:00,27205.04,35.63
47,2023-06-04 11:24:00,27205.2,35.63
48,2023-06-04 11:25:00,27213.8,35.63
49,2023-06-04 11:26:00,27215.07,35.63
50,2023-06-04 11:27:00,27221.38,35.63
51,2023-06-04 11:28:00,27224.12,35.63
52,2023-06-04 11:29:00,27224.08,35.63
53,2023-06-04 11:30:00,27214.18,35.63
54,2023-06-04 11:31:00,27214.18,35.65
55,2023-06-04 11:32:00,27211.01,35.65
56,2023-06-04 11:33:00,27210.69,35.73
57,2023-06-04 11:34:00,27221.23,35.73
58,2023-06-04 11:35:00,27222.68,35.71
59,2023-06-04 11:36:00,27222.01,35.71
60,2023-06-04 11:37:00,27214.65,35.71
61,2023-06-04 11:38:00,27214.66,35.69
62,2023-06-04 11:39:00,27214.65,35.69
63,2023-06-04 11:40:00,27216.25,35.73
64,2023-06-04 11:41:00,27214.79,35.73
65,2023-06-04 11:42:00,27214.62,35.73
66,2023-06-04 11:43:00,27210.05,35.73
67,2023-06-04 11:44:00,27208.68,35.73
68,2023-06-04 11:45:00,27206.5,35.73
69,2023-06-04 11:46:00,27206.5,35.73
70,2023-06-04 11:47:00,27212.99,35.72
71,2023-06-04 11:48:00,27213.92,35.73
72,2023-06-04 11:49:00,27215.19,35.73
73,2023-06-04 11:50:00,27215.2,35.73
74,2023-06-04 11:51:00,27220.41,35.76
75,2023-06-04 11:52:00,27226.63,35.76
76,2023-06-04 11:53:00,27226.63,35.76
77,2023-06-04 11:54:00,27230.17,35.76
78,2023-06-04 11:55:00,27227.84,35.74
79,2023-06-04 11:56:00,27222.42,35.74
80,2023-06-04 11:57:00,27222.0,35.74
81,2023-06-04 11:58:00,27222.98,35.76
82,2023-06-04 11:59:00,27221.05,35.77
83,2023-06-04 12:00:00,27218.25,35.76
84,2023-06-04 12:01:00,27212.77,35.76
85,2023-06-04 12:02:00,27211.0,35.74
86,2023-06-04 12:03:00,27214.21,35.74
87,2023-06-04 12:04:00,27213.99,35.74
88,2023-06-04 12:05:00,27215.65,35.76
89,2023-06-04 12:06:00,27211.43,35.76
90,2023-06-04 12:07:00,27222.22,35.77
91,2023-06-04 12:08:00,27218.02,35.76
