,Time,BTCUSDT,FILUSDT
0,2023-06-04 10:35:00,27209.38,4.873
1,2023-06-04 10:36:00,27212.22,4.873
2,2023-06-04 10:37:00,27219.99,4.873
3,2023-06-04 10:38:00,27219.99,4.872
4,2023-06-04 10:39:00,27235.32,4.876
5,2023-06-04 10:40:00,27236.93,4.876
6,2023-06-04 10:41:00,27242.26,4.876
7,2023-06-04 10:42:00,27227.22,4.875
8,2023-06-04 10:43:00,27218.55,4.874
9,2023-06-04 10:44:00,27222.31,4.874
10,2023-06-04 10:45:00,27226.47,4.875
11,2023-06-04 10:46:00,27229.79,4.874
12,2023-06-04 10:47:00,27230.66,4.876
13,2023-06-04 10:48:00,27230.64,4.875
14,2023-06-04 10:49:00,27229.07,4.876
15,2023-06-04 10:50:00,27227.52,4.876
16,2023-06-04 10:51:00,27228.51,4.876
17,2023-06-04 10:52:00,27226.3,4.877
18,2023-06-04 10:53:00,27219.13,4.875
19,2023-06-04 10:54:00,27210.49,4.874
20,2023-06-04 10:55:00,27209.48,4.875
21,2023-06-04 10:56:00,27211.61,4.874
22,2023-06-04 10:57:00,27211.61,4.875
23,2023-06-04 10:58:00,27211.99,4.875
24,2023-06-04 10:59:00,27215.89,4.875
25,2023-06-04 11:00:00,27221.02,4.875
26,2023-06-04 11:01:00,27221.02,4.874
27,2023-06-04 11:02:00,27221.01,4.875
28,2023-06-04 11:03:00,27211.84,4.875
29,2023-06-04 11:04:00,27209.41,4.875
30,2023-06-04 11:05:00,27208.42,4.875
31,2023-06-04 11:06:00,27205.48,4.873
32,2023-06-04 11:07:00,27205.49,4.87
33,2023-06-04 11:08:00,27204.46,4.874
34,2023-06-04 11:09:00,27203.63,4.872
35,2023-06-04 11:10:00,27203.41,4.872
36,2023-06-04 11:11:00,27203.4,4.872
37,2023-06-04 11:12:00,27204.2,4.871
38,2023-06-04 11:13:00,27206.38,4.867
39,2023-06-04 11:14:00,27206.39,4.866
40,2023-06-04 11:15:00,27206.39,4.869
41,2023-06-04 11:16:00,27206.44,4.871
42,2023-06-04 11:17:00,27207.24,4.872
43,2023-06-04 11:18:00,27203.37,4.87
44,2023-06-04 11:19:00,27190.34,4.872
45,2023-06-04 11:20:00,27194.15,4.871
46,2023-06-04 11:21:00,27197.71,4.871
47,2023-06-04 11:22:00,27205.03,4.87
48,2023-06-04 11:23:00,27205.04,4.871
49,2023-06-04 11:24:00,27205.2,4.871
50,2023-06-04 11:25:00,27213.8,4.868
51,2023-06-04 11:26:00,27215.07,4.867
52,2023-06-04 11:27:00,27221.38,4.865
53,2023-06-04 11:28:00,27224.12,4.865
54,2023-06-04 11:29:00,27224.08,4.862
55,2023-06-04 11:30:00,27214.18,4.862
56,2023-06-04 11:31:00,27214.18,4.863
57,2023-06-04 11:32:00,27211.01,4.864
58,2023-06-04 11:33:00,27210.69,4.865
59,2023-06-04 11:34:00,27221.23,4.865
60,2023-06-04 11:35:00,27222.68,4.864
61,2023-06-04 11:36:00,27222.01,4.864
62,2023-06-04 11:37:00,27214.65,4.862
63,2023-06-04 11:38:00,27214.66,4.861
64,2023-06-04 11:39:00,27214.65,4.864
65,2023-06-04 11:40:00,27216.25,4.863
66,2023-06-04 11:41:00,27214.79,4.862
67,2023-06-04 11:42:00,27214.62,4.863
68,2023-06-04 11:43:00,27210.05,4.863
69,2023-06-04 11:44:00,27208.68,4.863
70,2023-06-04 11:45:00,27206.5,4.863
71,2023-06-04 11:46:00,27206.5,4.865
72,2023-06-04 11:47:00,27212.99,4.861
73,2023-06-04 11:48:00,27213.92,4.862
74,2023-06-04 11:49:00,27215.19,4.861
75,2023-06-04 11:50:00,27215.2,4.861
76,2023-06-04 11:51:00,27220.41,4.862
77,2023-06-04 11:52:00,27226.63,4.863
78,2023-06-04 11:53:00,27226.63,4.863
79,2023-06-04 11:54:00,27230.17,4.864
80,2023-06-04 11:55:00,27227.84,4.865
81,2023-06-04 11:56:00,27222.42,4.867
82,2023-06-04 11:57:00,27222.0,4.866
83,2023-06-04 11:58:00,27222.98,4.865
84,2023-06-04 11:59:00,27221.05,4.865
85,2023-06-04 12:00:00,27218.25,4.863
86,2023-06-04 12:01:00,27212.77,4.863
87,2023-06-04 12:02:00,27211.0,4.863
88,2023-06-04 12:03:00,27214.21,4.862
89,2023-06-04 12:04:00,27213.99,4.863
90,2023-06-04 12:05:00,27215.65,4.861
91,2023-06-04 12:06:00,27211.43,4.861
92,2023-06-04 12:07:00,27222.22,4.862
93,2023-06-04 12:08:00,27218.02,4.859
94,2023-06-04 12:09:00,27220.66,4.857
95,2023-06-04 12:10:00,27230.45,4.855
96,2023-06-04 12:11:00,27231.85,4.854
97,2023-06-04 12:12:00,27235.66,4.854
98,2023-06-04 12:13:00,27233.94,4.857
99,2023-06-04 12:14:00,27230.45,4.856
100,2023-06-04 12:15:00,27228.41,4.859
101,2023-06-04 12:16:00,27224.02,4.858
102,2023-06-04 12:17:00,27219.05,4.858
103,2023-06-04 12:18:00,27217.78,4.854
104,2023-06-04 12:19:00,27217.71,4.854
105,2023-06-04 12:20:00,27220.91,4.85
106,2023-06-04 12:21:00,27220.92,4.852
107,2023-06-04 12:22:00,27224.55,4.852
108,2023-06-04 12:23:00,27227.2,4.854
109,2023-06-04 12:24:00,27227.2,4.854
110,2023-06-04 12:25:00,27227.08,4.853
111,2023-06-04 12:26:00,27225.68,4.854
112,2023-06-04 12:27:00,27225.47,4.852
113,2023-06-04 12:28:00,27224.79,4.851
114,2023-06-04 12:29:00,27218.87,4.847
115,2023-06-04 12:30:00,27223.13,4.849
116,2023-06-04 12:31:00,27224.42,4.849
117,2023-06-04 12:32:00,27224.66,4.85
118,2023-06-04 12:33:00,27224.65,4.85
119,2023-06-04 12:34:00,27224.66,4.845
120,2023-06-04 12:35:00,27224.65,4.846
121,2023-06-04 12:36:00,27222.39,4.846
122,2023-06-04 12:37:00,27219.24,4.846
123,2023-06-04 12:38:00,27217.21,4.846
124,2023-06-04 12:39:00,27214.68,4.843
125,2023-06-04 12:40:00,27205.16,4.84
126,2023-06-04 12:41:00,27212.64,4.844
127,2023-06-04 12:42:00,27216.67,4.843
128,2023-06-04 12:43:00,27199.54,4.844
129,2023-06-04 12:44:00,27200.49,4.843
130,2023-06-04 12:45:00,27189.24,4.842
131,2023-06-04 12:46:00,27199.99,4.845
132,2023-06-04 12:47:00,27198.49,4.847
133,2023-06-04 12:48:00,27199.52,4.849
134,2023-06-04 12:49:00,27199.52,4.853
135,2023-06-04 12:50:00,27195.31,4.855
136,2023-06-04 12:51:00,27192.93,4.847
137,2023-06-04 12:52:00,27193.97,4.848
138,2023-06-04 12:53:00,27191.9,4.85
139,2023-06-04 12:54:00,27184.82,4.852
140,2023-06-04 12:55:00,27191.15,4.852
141,2023-06-04 12:56:00,27195.85,4.852
142,2023-06-04 12:57:00,27198.54,4.853
143,2023-06-04 12:58:00,27198.54,4.849
144,2023-06-04 12:59:00,27198.55,4.849
145,2023-06-04 13:00:00,27188.16,4.849
146,2023-06-04 13:01:00,27187.34,4.85
147,2023-06-04 13:02:00,27193.7,4.854
148,2023-06-04 13:03:00,27189.94,4.855
149,2023-06-04 13:04:00,27177.1,4.855
150,2023-06-04 13:05:00,27179.75,4.855
151,2023-06-04 13:06:00,27181.21,4.857
152,2023-06-04 13:07:00,27183.16,4.853
153,2023-06-04 13:08:00,27193.03,4.857
154,2023-06-04 13:09:00,27193.04,4.857
155,2023-06-04 13:10:00,27193.29,4.859
156,2023-06-04 13:11:00,27193.29,4.859
157,2023-06-04 13:12:00,27193.29,4.857
158,2023-06-04 13:13:00,27193.29,4.857
159,2023-06-04 13:14:00,27194.39,4.857
160,2023-06-04 13:15:00,27194.82,4.855
161,2023-06-04 13:16:00,27189.11,4.855
162,2023-06-04 13:17:00,27182.0,4.855
163,2023-06-04 13:18:00,27180.67,4.855
164,2023-06-04 13:19:00,27176.68,4.852
165,2023-06-04 13:20:00,27183.87,4.852
166,2023-06-04 13:21:00,27183.88,4.853
167,2023-06-04 13:22:00,27189.33,4.855
168,2023-06-04 13:23:00,27189.64,4.855
169,2023-06-04 13:24:00,27181.07,4.852
170,2023-06-04 13:25:00,27181.07,4.852
171,2023-06-04 13:26:00,27179.03,4.851
172,2023-06-04 13:27:00,27168.5,4.848
173,2023-06-04 13:28:00,27160.11,4.837
174,2023-06-04 13:29:00,27166.33,4.834
175,2023-06-04 13:30:00,27166.78,4.84
176,2023-06-04 13:31:00,27166.88,4.836
177,2023-06-04 13:32:00,27178.2,4.839
178,2023-06-04 13:33:00,27178.22,4.84
179,2023-06-04 13:34:00,27178.21,4.844
180,2023-06-04 13:35:00,27189.53,4.843
181,2023-06-04 13:36:00,27189.52,4.843
182,2023-06-04 13:37:00,27189.52,4.844
183,2023-06-04 13:38:00,27190.82,4.84
184,2023-06-04 13:39:00,27192.7,4.838
185,2023-06-04 13:40:00,27204.26,4.838
186,2023-06-04 13:41:00,27203.57,4.836
187,2023-06-04 13:42:00,27200.84,4.836
188,2023-06-04 13:43:00,27215.58,4.838
189,2023-06-04 13:44:00,27216.03,4.837
190,2023-06-04 13:45:00,27213.29,4.838
191,2023-06-04 13:46:00,27212.72,4.838
192,2023-06-04 13:47:00,27211.91,4.838
193,2023-06-04 13:48:00,27211.91,4.84
