,Time,ETHUSDT,BNBUSDT
0,2023-06-04 10:53:00,1905.86,307.4
1,2023-06-04 10:54:00,1905.3,307.3
2,2023-06-04 10:55:00,1906.02,307.4
3,2023-06-04 10:56:00,1905.86,307.4
4,2023-06-04 10:57:00,1905.39,307.4
5,2023-06-04 10:58:00,1905.39,307.3
6,2023-06-04 10:59:00,1905.72,307.3
7,2023-06-04 11:00:00,1905.81,307.5
8,2023-06-04 11:01:00,1905.71,307.4
9,2023-06-04 11:02:00,1905.35,307.4
10,2023-06-04 11:03:00,1904.69,307.3
11,2023-06-04 11:04:00,1904.84,307.2
12,2023-06-04 11:05:00,1905.44,307.3
13,2023-06-04 11:06:00,1905.07,307.3
14,2023-06-04 11:07:00,1905.0,307.2
15,2023-06-04 11:08:00,1904.85,307.2
16,2023-06-04 11:09:00,1904.67,307.3
17,2023-06-04 11:10:00,1904.68,307.3
18,2023-06-04 11:11:00,1904.69,307.2
19,2023-06-04 11:12:00,1904.85,307.3
20,2023-06-04 11:13:00,1904.84,307.2
21,2023-06-04 11:14:00,1904.26,307.3
22,2023-06-04 11:15:00,1904.24,307.3
23,2023-06-04 11:16:00,1904.08,307.3
24,2023-06-04 11:17:00,1904.08,307.3
25,2023-06-04 11:18:00,1903.51,307.2
26,2023-06-04 11:19:00,1903.5,307.2
27,2023-06-04 11:20:00,1903.95,307.2
28,2023-06-04 11:21:00,1903.95,307.1
29,2023-06-04 11:22:00,1904.37,307.2
30,2023-06-04 11:23:00,1904.37,307.2
31,2023-06-04 11:24:00,1904.37,307.2
32,2023-06-04 11:25:00,1904.38,307.1
33,2023-06-04 11:26:00,1904.47,307.1
34,2023-06-04 11:27:00,1904.54,307.2
35,2023-06-04 11:28:00,1904.49,307.2
36,2023-06-04 11:29:00,1904.5,307.1
37,2023-06-04 11:30:00,1904.0,307.1
38,2023-06-04 11:31:00,1904.01,307.1
39,2023-06-04 11:32:00,1904.23,307.2
40,2023-06-04 11:33:00,1904.32,307.3
41,2023-06-04 11:34:00,1905.12,307.3
42,2023-06-04 11:35:00,1904.88,307.3
43,2023-06-04 11:36:00,1904.92,307.2
44,2023-06-04 11:37:00,1905.03,307.2
