,Time,ETHUSDT,FILUSDT
0,2023-06-04 10:55:00,1906.02,4.875
1,2023-06-04 10:56:00,1905.86,4.874
2,2023-06-04 10:57:00,1905.39,4.875
3,2023-06-04 10:58:00,1905.39,4.875
4,2023-06-04 10:59:00,1905.72,4.875
5,2023-06-04 11:00:00,1905.81,4.875
6,2023-06-04 11:01:00,1905.71,4.874
7,2023-06-04 11:02:00,1905.35,4.875
8,2023-06-04 11:03:00,1904.69,4.875
9,2023-06-04 11:04:00,1904.84,4.875
10,2023-06-04 11:05:00,1905.44,4.875
11,2023-06-04 11:06:00,1905.07,4.873
12,2023-06-04 11:07:00,1905.0,4.87
13,2023-06-04 11:08:00,1904.85,4.874
14,2023-06-04 11:09:00,1904.67,4.872
15,2023-06-04 11:10:00,1904.68,4.872
16,2023-06-04 11:11:00,1904.69,4.872
17,2023-06-04 11:12:00,1904.85,4.871
18,2023-06-04 11:13:00,1904.84,4.867
19,2023-06-04 11:14:00,1904.26,4.866
20,2023-06-04 11:15:00,1904.24,4.869
21,2023-06-04 11:16:00,1904.08,4.871
22,2023-06-04 11:17:00,1904.08,4.872
23,2023-06-04 11:18:00,1903.51,4.87
24,2023-06-04 11:19:00,1903.5,4.872
25,2023-06-04 11:20:00,1903.95,4.871
26,2023-06-04 11:21:00,1903.95,4.871
27,2023-06-04 11:22:00,1904.37,4.87
28,2023-06-04 11:23:00,1904.37,4.871
29,2023-06-04 11:24:00,1904.37,4.871
30,2023-06-04 11:25:00,1904.38,4.868
31,2023-06-04 11:26:00,1904.47,4.867
32,2023-06-04 11:27:00,1904.54,4.865
33,2023-06-04 11:28:00,1904.49,4.865
34,2023-06-04 11:29:00,1904.5,4.862
35,2023-06-04 11:30:00,1904.0,4.862
36,2023-06-04 11:31:00,1904.01,4.863
37,2023-06-04 11:32:00,1904.23,4.864
38,2023-06-04 11:33:00,1904.32,4.865
39,2023-06-04 11:34:00,1905.12,4.865
40,2023-06-04 11:35:00,1904.88,4.864
41,2023-06-04 11:36:00,1904.92,4.864
42,2023-06-04 11:37:00,1905.03,4.862
43,2023-06-04 11:38:00,1905.02,4.861
44,2023-06-04 11:39:00,1905.01,4.864
45,2023-06-04 11:40:00,1905.01,4.863
46,2023-06-04 11:41:00,1905.02,4.862
47,2023-06-04 11:42:00,1905.02,4.863
48,2023-06-04 11:43:00,1904.46,4.863
49,2023-06-04 11:44:00,1904.42,4.863
50,2023-06-04 11:45:00,1904.19,4.863
