,Time,LTCUSDT,BUSDUSDT
0,2023-06-04 10:49:00,96.35,0.9999
1,2023-06-04 10:50:00,96.44,0.9999
2,2023-06-04 10:51:00,96.41,0.9998
3,2023-06-04 10:52:00,96.4,0.9998
4,2023-06-04 10:53:00,96.38,0.9999
5,2023-06-04 10:54:00,96.28,0.9999
6,2023-06-04 10:55:00,96.22,0.9998
7,2023-06-04 10:56:00,96.21,0.9998
8,2023-06-04 10:57:00,96.18,0.9998
9,2023-06-04 10:58:00,96.32,0.9999
10,2023-06-04 10:59:00,96.36,0.9999
11,2023-06-04 11:00:00,96.33,0.9998
12,2023-06-04 11:01:00,96.27,0.9998
13,2023-06-04 11:02:00,96.24,0.9999
14,2023-06-04 11:03:00,96.22,0.9998
15,2023-06-04 11:04:00,96.2,0.9998
16,2023-06-04 11:05:00,96.19,0.9998
17,2023-06-04 11:06:00,96.2,0.9999
18,2023-06-04 11:07:00,96.24,0.9998
19,2023-06-04 11:08:00,96.24,0.9999
20,2023-06-04 11:09:00,96.35,0.9998
21,2023-06-04 11:10:00,96.26,0.9999
22,2023-06-04 11:11:00,96.28,0.9999
23,2023-06-04 11:12:00,96.38,0.9998
24,2023-06-04 11:13:00,96.35,0.9998
25,2023-06-04 11:14:00,96.35,0.9999
26,2023-06-04 11:15:00,96.36,0.9999
27,2023-06-04 11:16:00,96.35,0.9999
28,2023-06-04 11:17:00,96.32,0.9998
29,2023-06-04 11:18:00,96.28,0.9998
30,2023-06-04 11:19:00,96.23,0.9998
31,2023-06-04 11:20:00,96.31,0.9999
32,2023-06-04 11:21:00,96.35,0.9999
33,2023-06-04 11:22:00,96.31,0.9999
34,2023-06-04 11:23:00,96.32,0.9998
35,2023-06-04 11:24:00,96.28,0.9999
36,2023-06-04 11:25:00,96.31,0.9998
37,2023-06-04 11:26:00,96.4,0.9998
38,2023-06-04 11:27:00,96.43,0.9999
39,2023-06-04 11:28:00,96.44,0.9999
40,2023-06-04 11:29:00,96.45,0.9999
41,2023-06-04 11:30:00,96.38,0.9998
42,2023-06-04 11:31:00,96.38,0.9999
43,2023-06-04 11:32:00,96.33,0.9999
44,2023-06-04 11:33:00,96.34,0.9999
