,Time,LTCUSDT,COMPUSDT
0,2023-06-04 10:51:00,96.41,35.67
1,2023-06-04 10:52:00,96.4,35.67
2,2023-06-04 10:53:00,96.38,35.68
3,2023-06-04 10:54:00,96.28,35.68
4,2023-06-04 10:55:00,96.22,35.67
5,2023-06-04 10:56:00,96.21,35.67
6,2023-06-04 10:57:00,96.18,35.68
7,2023-06-04 10:58:00,96.32,35.7
8,2023-06-04 10:59:00,96.36,35.7
9,2023-06-04 11:00:00,96.33,35.7
10,2023-06-04 11:01:00,96.27,35.69
11,2023-06-04 11:02:00,96.24,35.69
12,2023-06-04 11:03:00,96.22,35.68
13,2023-06-04 11:04:00,96.2,35.66
14,2023-06-04 11:05:00,96.19,35.66
15,2023-06-04 11:06:00,96.2,35.66
16,2023-06-04 11:07:00,96.24,35.66
17,2023-06-04 11:08:00,96.24,35.66
18,2023-06-04 11:09:00,96.35,35.66
19,2023-06-04 11:10:00,96.26,35.64
20,2023-06-04 11:11:00,96.28,35.64
21,2023-06-04 11:12:00,96.38,35.64
22,2023-06-04 11:13:00,96.35,35.65
23,2023-06-04 11:14:00,96.35,35.66
24,2023-06-04 11:15:00,96.36,35.66
25,2023-06-04 11:16:00,96.35,35.66
26,2023-06-04 11:17:00,96.32,35.66
27,2023-06-04 11:18:00,96.28,35.65
28,2023-06-04 11:19:00,96.23,35.65
29,2023-06-04 11:20:00,96.31,35.65
30,2023-06-04 11:21:00,96.35,35.64
31,2023-06-04 11:22:00,96.31,35.64
32,2023-06-04 11:23:00,96.32,35.63
33,2023-06-04 11:24:00,96.28,35.63
34,2023-06-04 11:25:00,96.31,35.63
35,2023-06-04 11:26:00,96.4,35.63
36,2023-06-04 11:27:00,96.43,35.63
37,2023-06-04 11:28:00,96.44,35.63
38,2023-06-04 11:29:00,96.45,35.63
39,2023-06-04 11:30:00,96.38,35.63
40,2023-06-04 11:31:00,96.38,35.65
41,2023-06-04 11:32:00,96.33,35.65
42,2023-06-04 11:33:00,96.34,35.73
43,2023-06-04 11:34:00,96.4,35.73
44,2023-06-04 11:35:00,96.36,35.71
45,2023-06-04 11:36:00,96.37,35.71
46,2023-06-04 11:37:00,96.33,35.71
47,2023-06-04 11:38:00,96.33,35.69
48,2023-06-04 11:39:00,96.32,35.69
49,2023-06-04 11:40:00,96.27,35.73
50,2023-06-04 11:41:00,96.21,35.73
51,2023-06-04 11:42:00,96.27,35.73
52,2023-06-04 11:43:00,96.25,35.73
