,Time,LTCUSDT,FILUSDT
0,2023-06-04 10:50:00,96.44,4.876
1,2023-06-04 10:51:00,96.41,4.876
2,2023-06-04 10:52:00,96.4,4.877
3,2023-06-04 10:53:00,96.38,4.875
4,2023-06-04 10:54:00,96.28,4.874
5,2023-06-04 10:55:00,96.22,4.875
6,2023-06-04 10:56:00,96.21,4.874
7,2023-06-04 10:57:00,96.18,4.875
8,2023-06-04 10:58:00,96.32,4.875
9,2023-06-04 10:59:00,96.36,4.875
10,2023-06-04 11:00:00,96.33,4.875
11,2023-06-04 11:01:00,96.27,4.874
12,2023-06-04 11:02:00,96.24,4.875
13,2023-06-04 11:03:00,96.22,4.875
14,2023-06-04 11:04:00,96.2,4.875
15,2023-06-04 11:05:00,96.19,4.875
16,2023-06-04 11:06:00,96.2,4.873
17,2023-06-04 11:07:00,96.24,4.87
18,2023-06-04 11:08:00,96.24,4.874
19,2023-06-04 11:09:00,96.35,4.872
20,2023-06-04 11:10:00,96.26,4.872
21,2023-06-04 11:11:00,96.28,4.872
22,2023-06-04 11:12:00,96.38,4.871
23,2023-06-04 11:13:00,96.35,4.867
24,2023-06-04 11:14:00,96.35,4.866
25,2023-06-04 11:15:00,96.36,4.869
26,2023-06-04 11:16:00,96.35,4.871
27,2023-06-04 11:17:00,96.32,4.872
28,2023-06-04 11:18:00,96.28,4.87
29,2023-06-04 11:19:00,96.23,4.872
30,2023-06-04 11:20:00,96.31,4.871
31,2023-06-04 11:21:00,96.35,4.871
32,2023-06-04 11:22:00,96.31,4.87
33,2023-06-04 11:23:00,96.32,4.871
34,2023-06-04 11:24:00,96.28,4.871
35,2023-06-04 11:25:00,96.31,4.868
36,2023-06-04 11:26:00,96.4,4.867
37,2023-06-04 11:27:00,96.43,4.865
38,2023-06-04 11:28:00,96.44,4.865
39,2023-06-04 11:29:00,96.45,4.862
40,2023-06-04 11:30:00,96.38,4.862
41,2023-06-04 11:31:00,96.38,4.863
42,2023-06-04 11:32:00,96.33,4.864
43,2023-06-04 11:33:00,96.34,4.865
44,2023-06-04 11:34:00,96.4,4.865
45,2023-06-04 11:35:00,96.36,4.864
46,2023-06-04 11:36:00,96.37,4.864
47,2023-06-04 11:37:00,96.33,4.862
48,2023-06-04 11:38:00,96.33,4.861
49,2023-06-04 11:39:00,96.32,4.864
50,2023-06-04 11:40:00,96.27,4.863
51,2023-06-04 11:41:00,96.21,4.862
52,2023-06-04 11:42:00,96.27,4.863
53,2023-06-04 11:43:00,96.25,4.863
54,2023-06-04 11:44:00,96.23,4.863
55,2023-06-04 11:45:00,96.32,4.863
56,2023-06-04 11:46:00,96.34,4.865
57,2023-06-04 11:47:00,96.37,4.861
58,2023-06-04 11:48:00,96.43,4.862
59,2023-06-04 11:49:00,96.43,4.861
60,2023-06-04 11:50:00,96.43,4.861
61,2023-06-04 11:51:00,96.45,4.862
62,2023-06-04 11:52:00,96.47,4.863
63,2023-06-04 11:53:00,96.48,4.863
64,2023-06-04 11:54:00,96.45,4.864
65,2023-06-04 11:55:00,96.45,4.865
66,2023-06-04 11:56:00,96.35,4.867
67,2023-06-04 11:57:00,96.34,4.866
68,2023-06-04 11:58:00,96.34,4.865
69,2023-06-04 11:59:00,96.36,4.865
70,2023-06-04 12:00:00,96.33,4.863
71,2023-06-04 12:01:00,96.31,4.863
72,2023-06-04 12:02:00,96.27,4.863
73,2023-06-04 12:03:00,96.27,4.862
74,2023-06-04 12:04:00,96.23,4.863
75,2023-06-04 12:05:00,96.28,4.861
76,2023-06-04 12:06:00,96.29,4.861
77,2023-06-04 12:07:00,96.34,4.862
78,2023-06-04 12:08:00,96.28,4.859
79,2023-06-04 12:09:00,96.31,4.857
80,2023-06-04 12:10:00,96.29,4.855
81,2023-06-04 12:11:00,96.3,4.854
82,2023-06-04 12:12:00,96.29,4.854
83,2023-06-04 12:13:00,96.29,4.857
84,2023-06-04 12:14:00,96.26,4.856
85,2023-06-04 12:15:00,96.23,4.859
86,2023-06-04 12:16:00,96.18,4.858
87,2023-06-04 12:17:00,96.19,4.858
88,2023-06-04 12:18:00,96.1,4.854
89,2023-06-04 12:19:00,96.13,4.854
90,2023-06-04 12:20:00,96.13,4.85
91,2023-06-04 12:21:00,96.16,4.852
92,2023-06-04 12:22:00,96.21,4.852
93,2023-06-04 12:23:00,96.17,4.854
94,2023-06-04 12:24:00,96.14,4.854
95,2023-06-04 12:25:00,96.15,4.853
96,2023-06-04 12:26:00,96.26,4.854
97,2023-06-04 12:27:00,96.35,4.852
98,2023-06-04 12:28:00,96.33,4.851
99,2023-06-04 12:29:00,96.31,4.847
100,2023-06-04 12:30:00,96.29,4.849
101,2023-06-04 12:31:00,96.3,4.849
102,2023-06-04 12:32:00,96.29,4.85
103,2023-06-04 12:33:00,96.31,4.85
104,2023-06-04 12:34:00,96.34,4.845
105,2023-06-04 12:35:00,96.37,4.846
106,2023-06-04 12:36:00,96.28,4.846
107,2023-06-04 12:37:00,96.27,4.846
108,2023-06-04 12:38:00,96.25,4.846
109,2023-06-04 12:39:00,96.14,4.843
110,2023-06-04 12:40:00,96.1,4.84
111,2023-06-04 12:41:00,96.15,4.844
112,2023-06-04 12:42:00,96.22,4.843
113,2023-06-04 12:43:00,96.16,4.844
114,2023-06-04 12:44:00,96.05,4.843
115,2023-06-04 12:45:00,96.07,4.842
116,2023-06-04 12:46:00,96.11,4.845
117,2023-06-04 12:47:00,96.11,4.847
118,2023-06-04 12:48:00,96.16,4.849
119,2023-06-04 12:49:00,96.21,4.853
120,2023-06-04 12:50:00,96.24,4.855
121,2023-06-04 12:51:00,96.08,4.847
122,2023-06-04 12:52:00,96.1,4.848
123,2023-06-04 12:53:00,96.12,4.85
124,2023-06-04 12:54:00,96.15,4.852
125,2023-06-04 12:55:00,96.14,4.852
126,2023-06-04 12:56:00,96.16,4.852
127,2023-06-04 12:57:00,96.17,4.853
128,2023-06-04 12:58:00,96.32,4.849
129,2023-06-04 12:59:00,96.34,4.849
130,2023-06-04 13:00:00,96.32,4.849
131,2023-06-04 13:01:00,96.32,4.85
132,2023-06-04 13:02:00,96.32,4.854
133,2023-06-04 13:03:00,96.33,4.855
134,2023-06-04 13:04:00,96.29,4.855
135,2023-06-04 13:05:00,96.28,4.855
136,2023-06-04 13:06:00,96.29,4.857
137,2023-06-04 13:07:00,96.29,4.853
138,2023-06-04 13:08:00,96.3,4.857
139,2023-06-04 13:09:00,96.26,4.857
140,2023-06-04 13:10:00,96.28,4.859
141,2023-06-04 13:11:00,96.32,4.859
142,2023-06-04 13:12:00,96.32,4.857
143,2023-06-04 13:13:00,96.35,4.857
144,2023-06-04 13:14:00,96.36,4.857
145,2023-06-04 13:15:00,96.36,4.855
146,2023-06-04 13:16:00,96.26,4.855
147,2023-06-04 13:17:00,96.21,4.855
148,2023-06-04 13:18:00,96.23,4.855
149,2023-06-04 13:19:00,96.12,4.852
150,2023-06-04 13:20:00,96.18,4.852
151,2023-06-04 13:21:00,96.11,4.853
152,2023-06-04 13:22:00,96.14,4.855
153,2023-06-04 13:23:00,96.14,4.855
154,2023-06-04 13:24:00,96.23,4.852
155,2023-06-04 13:25:00,96.24,4.852
156,2023-06-04 13:26:00,96.23,4.851
157,2023-06-04 13:27:00,96.19,4.848
158,2023-06-04 13:28:00,96.14,4.837
159,2023-06-04 13:29:00,96.11,4.834
160,2023-06-04 13:30:00,96.08,4.84
161,2023-06-04 13:31:00,95.83,4.836
162,2023-06-04 13:32:00,95.96,4.839
163,2023-06-04 13:33:00,95.96,4.84
164,2023-06-04 13:34:00,95.97,4.844
165,2023-06-04 13:35:00,96.07,4.843
166,2023-06-04 13:36:00,96.06,4.843
167,2023-06-04 13:37:00,96.06,4.844
168,2023-06-04 13:38:00,95.99,4.84
169,2023-06-04 13:39:00,95.91,4.838
170,2023-06-04 13:40:00,95.94,4.838
171,2023-06-04 13:41:00,95.94,4.836
