,Time,LTCUSDT,MDTUSDT
0,2023-06-04 10:51:00,96.41,0.05329
1,2023-06-04 10:52:00,96.4,0.05324
2,2023-06-04 10:53:00,96.38,0.05318
3,2023-06-04 10:54:00,96.28,0.05318
4,2023-06-04 10:55:00,96.22,0.053
5,2023-06-04 10:56:00,96.21,0.05293
6,2023-06-04 10:57:00,96.18,0.05294
7,2023-06-04 10:58:00,96.32,0.05294
8,2023-06-04 10:59:00,96.36,0.05295
9,2023-06-04 11:00:00,96.33,0.05298
10,2023-06-04 11:01:00,96.27,0.05298
11,2023-06-04 11:02:00,96.24,0.05301
12,2023-06-04 11:03:00,96.22,0.05301
13,2023-06-04 11:04:00,96.2,0.05306
14,2023-06-04 11:05:00,96.19,0.05306
15,2023-06-04 11:06:00,96.2,0.05305
16,2023-06-04 11:07:00,96.24,0.05305
17,2023-06-04 11:08:00,96.24,0.05305
18,2023-06-04 11:09:00,96.35,0.053
19,2023-06-04 11:10:00,96.26,0.05304
20,2023-06-04 11:11:00,96.28,0.05304
21,2023-06-04 11:12:00,96.38,0.05306
22,2023-06-04 11:13:00,96.35,0.05302
23,2023-06-04 11:14:00,96.35,0.05313
24,2023-06-04 11:15:00,96.36,0.05318
25,2023-06-04 11:16:00,96.35,0.05318
26,2023-06-04 11:17:00,96.32,0.05318
27,2023-06-04 11:18:00,96.28,0.0532
28,2023-06-04 11:19:00,96.23,0.05321
29,2023-06-04 11:20:00,96.31,0.05321
30,2023-06-04 11:21:00,96.35,0.05321
31,2023-06-04 11:22:00,96.31,0.05321
32,2023-06-04 11:23:00,96.32,0.05321
33,2023-06-04 11:24:00,96.28,0.05321
34,2023-06-04 11:25:00,96.31,0.05324
35,2023-06-04 11:26:00,96.4,0.05324
36,2023-06-04 11:27:00,96.43,0.05331
37,2023-06-04 11:28:00,96.44,0.05332
38,2023-06-04 11:29:00,96.45,0.05338
39,2023-06-04 11:30:00,96.38,0.05344
40,2023-06-04 11:31:00,96.38,0.05363
41,2023-06-04 11:32:00,96.33,0.05353
42,2023-06-04 11:33:00,96.34,0.05357
43,2023-06-04 11:34:00,96.4,0.05357
44,2023-06-04 11:35:00,96.36,0.05357
45,2023-06-04 11:36:00,96.37,0.05357
46,2023-06-04 11:37:00,96.33,0.05364
47,2023-06-04 11:38:00,96.33,0.05368
48,2023-06-04 11:39:00,96.32,0.05369
49,2023-06-04 11:40:00,96.27,0.05368
50,2023-06-04 11:41:00,96.21,0.05367
51,2023-06-04 11:42:00,96.27,0.05371
52,2023-06-04 11:43:00,96.25,0.05368
53,2023-06-04 11:44:00,96.23,0.05367
54,2023-06-04 11:45:00,96.32,0.05346
55,2023-06-04 11:46:00,96.34,0.05338
56,2023-06-04 11:47:00,96.37,0.05339
57,2023-06-04 11:48:00,96.43,0.05349
58,2023-06-04 11:49:00,96.43,0.05353
59,2023-06-04 11:50:00,96.43,0.05344
60,2023-06-04 11:51:00,96.45,0.05342
61,2023-06-04 11:52:00,96.47,0.05342
62,2023-06-04 11:53:00,96.48,0.05346
63,2023-06-04 11:54:00,96.45,0.05345
64,2023-06-04 11:55:00,96.45,0.05338
65,2023-06-04 11:56:00,96.35,0.05332
66,2023-06-04 11:57:00,96.34,0.05331
67,2023-06-04 11:58:00,96.34,0.05329
68,2023-06-04 11:59:00,96.36,0.05334
69,2023-06-04 12:00:00,96.33,0.05341
70,2023-06-04 12:01:00,96.31,0.05336
71,2023-06-04 12:02:00,96.27,0.05323
72,2023-06-04 12:03:00,96.27,0.05325
73,2023-06-04 12:04:00,96.23,0.05322
74,2023-06-04 12:05:00,96.28,0.05335
75,2023-06-04 12:06:00,96.29,0.05317
76,2023-06-04 12:07:00,96.34,0.05316
77,2023-06-04 12:08:00,96.28,0.05313
78,2023-06-04 12:09:00,96.31,0.05316
79,2023-06-04 12:10:00,96.29,0.05313
80,2023-06-04 12:11:00,96.3,0.05316
81,2023-06-04 12:12:00,96.29,0.05313
82,2023-06-04 12:13:00,96.29,0.05295
83,2023-06-04 12:14:00,96.26,0.05302
84,2023-06-04 12:15:00,96.23,0.05292
85,2023-06-04 12:16:00,96.18,0.05297
86,2023-06-04 12:17:00,96.19,0.05297
87,2023-06-04 12:18:00,96.1,0.05302
88,2023-06-04 12:19:00,96.13,0.05299
89,2023-06-04 12:20:00,96.13,0.05299
90,2023-06-04 12:21:00,96.16,0.05301
91,2023-06-04 12:22:00,96.21,0.05297
92,2023-06-04 12:23:00,96.17,0.05297
93,2023-06-04 12:24:00,96.14,0.05297
94,2023-06-04 12:25:00,96.15,0.05297
95,2023-06-04 12:26:00,96.26,0.05297
96,2023-06-04 12:27:00,96.35,0.05297
97,2023-06-04 12:28:00,96.33,0.05301
98,2023-06-04 12:29:00,96.31,0.05301
99,2023-06-04 12:30:00,96.29,0.05303
100,2023-06-04 12:31:00,96.3,0.05303
101,2023-06-04 12:32:00,96.29,0.05305
102,2023-06-04 12:33:00,96.31,0.05305
103,2023-06-04 12:34:00,96.34,0.05305
104,2023-06-04 12:35:00,96.37,0.05295
105,2023-06-04 12:36:00,96.28,0.0529
106,2023-06-04 12:37:00,96.27,0.0529
107,2023-06-04 12:38:00,96.25,0.05288
108,2023-06-04 12:39:00,96.14,0.05293
109,2023-06-04 12:40:00,96.1,0.05298
110,2023-06-04 12:41:00,96.15,0.05293
111,2023-06-04 12:42:00,96.22,0.05293
112,2023-06-04 12:43:00,96.16,0.05293
113,2023-06-04 12:44:00,96.05,0.05293
114,2023-06-04 12:45:00,96.07,0.05293
115,2023-06-04 12:46:00,96.11,0.05293
116,2023-06-04 12:47:00,96.11,0.05294
117,2023-06-04 12:48:00,96.16,0.05294
118,2023-06-04 12:49:00,96.21,0.0529
119,2023-06-04 12:50:00,96.24,0.05288
120,2023-06-04 12:51:00,96.08,0.05293
121,2023-06-04 12:52:00,96.1,0.05282
122,2023-06-04 12:53:00,96.12,0.05288
123,2023-06-04 12:54:00,96.15,0.0528
124,2023-06-04 12:55:00,96.14,0.0528
125,2023-06-04 12:56:00,96.16,0.05295
126,2023-06-04 12:57:00,96.17,0.05295
127,2023-06-04 12:58:00,96.32,0.05288
128,2023-06-04 12:59:00,96.34,0.05288
129,2023-06-04 13:00:00,96.32,0.05294
130,2023-06-04 13:01:00,96.32,0.05289
131,2023-06-04 13:02:00,96.32,0.05289
132,2023-06-04 13:03:00,96.33,0.05289
133,2023-06-04 13:04:00,96.29,0.05289
134,2023-06-04 13:05:00,96.28,0.05289
135,2023-06-04 13:06:00,96.29,0.05289
136,2023-06-04 13:07:00,96.29,0.05289
137,2023-06-04 13:08:00,96.3,0.05289
138,2023-06-04 13:09:00,96.26,0.05289
139,2023-06-04 13:10:00,96.28,0.0528
140,2023-06-04 13:11:00,96.32,0.0528
141,2023-06-04 13:12:00,96.32,0.05284
142,2023-06-04 13:13:00,96.35,0.05264
143,2023-06-04 13:14:00,96.36,0.05264
144,2023-06-04 13:15:00,96.36,0.05268
145,2023-06-04 13:16:00,96.26,0.0526
146,2023-06-04 13:17:00,96.21,0.05258
147,2023-06-04 13:18:00,96.23,0.05258
148,2023-06-04 13:19:00,96.12,0.05258
149,2023-06-04 13:20:00,96.18,0.05255
150,2023-06-04 13:21:00,96.11,0.05253
151,2023-06-04 13:22:00,96.14,0.05252
152,2023-06-04 13:23:00,96.14,0.05252
153,2023-06-04 13:24:00,96.23,0.05254
154,2023-06-04 13:25:00,96.24,0.05246
155,2023-06-04 13:26:00,96.23,0.05242
156,2023-06-04 13:27:00,96.19,0.0524
157,2023-06-04 13:28:00,96.14,0.05241
158,2023-06-04 13:29:00,96.11,0.05241
159,2023-06-04 13:30:00,96.08,0.05241
160,2023-06-04 13:31:00,95.83,0.05206
161,2023-06-04 13:32:00,95.96,0.05213
162,2023-06-04 13:33:00,95.96,0.05215
163,2023-06-04 13:34:00,95.97,0.05203
164,2023-06-04 13:35:00,96.07,0.05213
165,2023-06-04 13:36:00,96.06,0.05205
166,2023-06-04 13:37:00,96.06,0.05202
167,2023-06-04 13:38:00,95.99,0.05198
168,2023-06-04 13:39:00,95.91,0.05204
169,2023-06-04 13:40:00,95.94,0.05204
170,2023-06-04 13:41:00,95.94,0.05209
171,2023-06-04 13:42:00,95.94,0.0521
172,2023-06-04 13:43:00,96.02,0.05213
173,2023-06-04 13:44:00,96.04,0.0521
174,2023-06-04 13:45:00,96.01,0.05211
175,2023-06-04 13:46:00,96.05,0.05205
176,2023-06-04 13:47:00,96.06,0.05206
177,2023-06-04 13:48:00,96.07,0.05199
178,2023-06-04 13:49:00,96.06,0.05197
179,2023-06-04 13:50:00,96.06,0.05202
180,2023-06-04 13:51:00,96.12,0.05204
181,2023-06-04 13:52:00,96.11,0.05207
182,2023-06-04 13:53:00,96.11,0.05201
183,2023-06-04 13:54:00,96.12,0.05205
184,2023-06-04 13:55:00,96.17,0.05205
185,2023-06-04 13:56:00,96.19,0.05209
186,2023-06-04 13:57:00,96.17,0.05213
187,2023-06-04 13:58:00,96.17,0.05211
188,2023-06-04 13:59:00,96.18,0.05213
189,2023-06-04 14:00:00,96.21,0.05209
190,2023-06-04 14:01:00,96.24,0.05199
191,2023-06-04 14:02:00,96.2,0.05193
192,2023-06-04 14:03:00,96.13,0.05205
193,2023-06-04 14:04:00,96.16,0.05203
194,2023-06-04 14:05:00,96.18,0.05204
195,2023-06-04 14:06:00,96.18,0.05212
196,2023-06-04 14:07:00,96.26,0.05202
197,2023-06-04 14:08:00,96.21,0.05213
198,2023-06-04 14:09:00,96.2,0.05205
199,2023-06-04 14:10:00,96.18,0.05203
200,2023-06-04 14:11:00,96.16,0.05203
201,2023-06-04 14:12:00,96.11,0.05208
202,2023-06-04 14:13:00,96.12,0.05207
203,2023-06-04 14:14:00,96.12,0.05207
204,2023-06-04 14:15:00,96.22,0.05204
205,2023-06-04 14:16:00,96.25,0.05195
206,2023-06-04 14:17:00,96.19,0.05197
207,2023-06-04 14:18:00,96.21,0.05197
208,2023-06-04 14:19:00,96.2,0.05195
209,2023-06-04 14:20:00,96.15,0.05194
210,2023-06-04 14:21:00,96.15,0.05196
211,2023-06-04 14:22:00,96.15,0.05189
212,2023-06-04 14:23:00,96.17,0.05192
213,2023-06-04 14:24:00,96.16,0.05195
214,2023-06-04 14:25:00,96.12,0.05195
215,2023-06-04 14:26:00,96.11,0.05195
216,2023-06-04 14:27:00,96.09,0.05195
217,2023-06-04 14:28:00,96.08,0.052
218,2023-06-04 14:29:00,96.1,0.052
219,2023-06-04 14:30:00,96.17,0.052
220,2023-06-04 14:31:00,96.18,0.05195
221,2023-06-04 14:32:00,96.12,0.05192
222,2023-06-04 14:33:00,96.08,0.05189
223,2023-06-04 14:34:00,96.1,0.05189
224,2023-06-04 14:35:00,96.07,0.05189
225,2023-06-04 14:36:00,95.93,0.05191
226,2023-06-04 14:37:00,95.78,0.05181
227,2023-06-04 14:38:00,95.85,0.05182
228,2023-06-04 14:39:00,95.82,0.05182
229,2023-06-04 14:40:00,95.81,0.05182
230,2023-06-04 14:41:00,95.9,0.0519
231,2023-06-04 14:42:00,95.93,0.0518
232,2023-06-04 14:43:00,95.94,0.05176
233,2023-06-04 14:44:00,95.9,0.05179
234,2023-06-04 14:45:00,96.03,0.05181
235,2023-06-04 14:46:00,95.92,0.05176
236,2023-06-04 14:47:00,95.92,0.05182
237,2023-06-04 14:48:00,95.94,0.05191
238,2023-06-04 14:49:00,95.87,0.05173
239,2023-06-04 14:50:00,95.95,0.05182
240,2023-06-04 14:51:00,96.01,0.05182
241,2023-06-04 14:52:00,96.02,0.05182
242,2023-06-04 14:53:00,96.01,0.05182
243,2023-06-04 14:54:00,96.08,0.05176
244,2023-06-04 14:55:00,96.05,0.05176
